word,example_no,example_en,example_cn,matched_form,tatoeba_en_sentence_id,tatoeba_cn_sentence_id,tatoeba_en_author,tatoeba_cn_author,author_status,source,license,score,tatoeba_en_url,tatoeba_cn_url,notes
ALICE,1,Johnny proposed to Alice and she accepted.,约翰向爱丽丝求婚，而且她接受了。,alice,52850,892526,CN,Martha,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/52850,https://tatoeba.org/en/sentences/show/892526,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ALICE,2,Alice has had a cold since last Sunday.,Alice从上周日起就感冒了。,alice,67350,333981,CN,fucongcong,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/67350,https://tatoeba.org/en/sentences/show/333981,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AM,1,"So far as this matter is concerned, I am completely satisfied.",我对这件事感到十分满意。,am,43737,350495,sundown,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,102.0,https://tatoeba.org/en/sentences/show/43737,https://tatoeba.org/en/sentences/show/350495,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AM,2,On the whole I am satisfied with the result.,总的来说，我对这个结果很满意。,am,41216,435339,AlanF_US,GlossaMatik,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,102.0,https://tatoeba.org/en/sentences/show/41216,https://tatoeba.org/en/sentences/show/435339,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
AMERICAS,1,Cuba is located in the Americas.,古巴位于中美洲。,americas,5896581,3149058,peterius,cienias,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/5896581,https://tatoeba.org/en/sentences/show/3149058,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
APP,1,Is there an app for that?,有它的应用吗？,app,1306945,5663598,CK,verdastelo9604,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,98.0,https://tatoeba.org/en/sentences/show/1306945,https://tatoeba.org/en/sentences/show/5663598,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
APP,2,I deleted the app.,我删除了这个应用。,app,8444209,8463669,Luiaard,gumblex,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,96.0,https://tatoeba.org/en/sentences/show/8444209,https://tatoeba.org/en/sentences/show/8463669,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ARCHERS,1,He assigned two archers to me.,他派给我了两名弓箭手。,archers,9408478,5968295,BobbyLee,xjjAstrus,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/9408478,https://tatoeba.org/en/sentences/show/5968295,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ARMANI,1,"Thankfully, there was an Armani store just outside the alley where Dima had slept.",幸好，在狄马睡觉的小巷外面，刚好有一家阿玛尼。,armani,484238,492126,FeuDRenais,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/484238,https://tatoeba.org/en/sentences/show/492126,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
ATM,1,It doesn't matter if you have no money left in your pocket. Go to the ATM.,口袋里的钱摸空了没关系，去找自动取款机吧。,atm,10229332,420674,LeeSooHa,sysko,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/10229332,https://tatoeba.org/en/sentences/show/420674,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Abrahamic,1,Christianity is an Abrahamic religion.,基督教是亚伯拉罕诸教中的一个。,abrahamic,8860557,8739489,iiujik,crescat,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/8860557,https://tatoeba.org/en/sentences/show/8739489,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Adam,1,Adam was furious with me when I broke his watch.,我把亚当的手表弄坏了，气得他七窍生烟。,adam,71747,454791,CP,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/71747,https://tatoeba.org/en/sentences/show/454791,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Adam,2,Why did Adam eat the forbidden fruit?,亚当为什么吃了禁果呢？,adam,954656,10492392,CN,DaoSeng,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,108.0,https://tatoeba.org/en/sentences/show/954656,https://tatoeba.org/en/sentences/show/10492392,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Afghanistan,1,"During the Great Game, Afghanistan was a buffer state.",在大博弈期间，阿富汗是一个缓冲国。,afghanistan,814501,816920,U2FS,Martha,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/814501,https://tatoeba.org/en/sentences/show/816920,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Afghanistan,2,The Soviet troops have started the withdrawal from Afghanistan.,苏联军队开始从阿富汗撤军了。,afghanistan,2835788,737320,shekitten,yujianing,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/2835788,https://tatoeba.org/en/sentences/show/737320,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Africa,1,Africa is a continent; Greenland is not.,"非洲是一个大陆, 而格陵兰不是。",africa,67748,766465,Zifre,Martha,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/67748,https://tatoeba.org/en/sentences/show/766465,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Africa,2,Mali is one of the poorest countries in Subsaharan Africa.,马里是在撒哈拉以南非洲最贫穷的国家之一。,africa,2381,9972807,Zifre,GlossaMatik,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/2381,https://tatoeba.org/en/sentences/show/9972807,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
African,1,The African ground squirrels collaborate and are not aggressive to other mammals.,非洲地松鼠互帮互助，对其他哺乳动物没有攻击性。,african,5076214,5576842,danepo,verdastelo9604,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/5076214,https://tatoeba.org/en/sentences/show/5576842,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Afrikaners,1,Afrikaners are the people originated in South Africa.,阿非利康族是源在南非形成的民族。,afrikaners,408938,408940,Uyturk,Uyturk,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/408938,https://tatoeba.org/en/sentences/show/408940,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alaska,1,Alaska is a U.S. state.,阿拉斯加是美国的一个州,alaska,4844615,4819062,pig8322,sKy_,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,98.0,https://tatoeba.org/en/sentences/show/4844615,https://tatoeba.org/en/sentences/show/4819062,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Albania,1,Albania wants to join the European Union.,阿尔巴尼亚想加入欧盟。,albania,1802676,1892667,Amastan,fercheung,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/1802676,https://tatoeba.org/en/sentences/show/1892667,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alex,1,"When Sir Alex Ferguson saw that his players were getting tired, he always substituted them.",当亚历克斯·弗格森看到自己的球员劳累时，他总是叫替补上场。,alex,3579573,3579572,trieuho,trieuho,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/3579573,https://tatoeba.org/en/sentences/show/3579572,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alex,2,How many cars does Alex have?,艾力士有多少辆车？,alex,67111,337281,CN,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,98.0,https://tatoeba.org/en/sentences/show/67111,https://tatoeba.org/en/sentences/show/337281,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alexandre,1,Alexandre often goes to the supermarket.,Alexandre 经常去超级市场。,alexandre,7805696,861786,sharris123,U2FS,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/7805696,https://tatoeba.org/en/sentences/show/861786,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algeria,1,Algeria is a close ally of both Russia and China.,阿尔及利亚是俄罗斯和中国的亲密盟友。,algeria,8550317,8550341,Amastan,slo_oth,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/8550317,https://tatoeba.org/en/sentences/show/8550341,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algeria,2,Algeria needs to get rid of its bureaucracy.,阿尔及利亚需要摆脱官僚主义。,algeria,8558170,8558441,Amastan,slo_oth,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/8558170,https://tatoeba.org/en/sentences/show/8558441,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algerian,1,Every male Algerian citizen must do military service.,每个阿尔及尼亚的男性市民都需要服兵役。,algerian,7856802,9690030,Amastan,iMaple,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/7856802,https://tatoeba.org/en/sentences/show/9690030,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algerian,2,Couscous is my favorite Algerian food.,蒸粗麦粉是我最喜欢的阿尔及利亚菜。,algerian,8387606,8750727,Amastan,cxpadonis,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/8387606,https://tatoeba.org/en/sentences/show/8750727,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algiers,1,There are no double-decker buses in Algiers.,阿尔及尔没有双层巴士。,algiers,8558156,8558443,Amastan,slo_oth,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/8558156,https://tatoeba.org/en/sentences/show/8558443,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Algiers,2,Algiers has a beautiful promenade on the seashore.,阿尔及尔有一条美丽的海滨长廊。,algiers,8558150,8558444,Amastan,slo_oth,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/8558150,https://tatoeba.org/en/sentences/show/8558444,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alps,1,We are going skiing in the Alps.,我们要去阿尔卑斯山上滑雪。,alps,6767522,10450529,Eccles17,DaoSeng,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/6767522,https://tatoeba.org/en/sentences/show/10450529,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Alps,2,The Alps extend across eight European countries.,阿尔卑斯山地跨欧洲八国。,alps,10547907,882028,sundown,U2FS,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/10547907,https://tatoeba.org/en/sentences/show/882028,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Altaic,1,These are all languages of the Altaic language family group.,这些都是阿尔泰语系的语言。,altaic,7795854,6316770,sharris123,xjjAstrus,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/7795854,https://tatoeba.org/en/sentences/show/6316770,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
America,1,It is definite that he will go to America.,他肯定要去美国。,america,282898,817291,CM,fucongcong,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/282898,https://tatoeba.org/en/sentences/show/817291,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
America,2,He was in America at that time.,他当时在美国。,america,279947,875385,CK,Martha,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/279947,https://tatoeba.org/en/sentences/show/875385,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
American,1,He has access to the American Embassy.,他有权出入美国大使馆。,american,288864,2027942,CM,ydcok,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/288864,https://tatoeba.org/en/sentences/show/2027942,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
American,2,He is not an American but a Frenchman.,他不是美国人，是法国人。,american,288862,685092,Eldad,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/288862,https://tatoeba.org/en/sentences/show/685092,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Americans,1,Sixty-nine percent of adult Americans are either overweight or obese.,69%的美国成人超重或肥胖。,americans,4282381,10340629,Hybrid,iiujik,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/4282381,https://tatoeba.org/en/sentences/show/10340629,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Americans,2,It's hard to tell Englishmen from Americans just by the way they look.,只凭长相的话很难区分英国人和美国人。,americans,20765,8789285,CK,crescat,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/20765,https://tatoeba.org/en/sentences/show/8789285,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Amsterdam,1,My dream is to study Dutch in Amsterdam.,我的梦想是在阿姆斯特丹学习荷兰语。,amsterdam,8775482,10326120,LinaTamazight,DaoSeng,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/8775482,https://tatoeba.org/en/sentences/show/10326120,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Anatolian,1,I live in the Anatolian side of Istanbul.,我住在伊斯坦布尔的安纳托利亚一侧。,anatolian,11092241,11076823,risewithelsa,janTuki,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/11092241,https://tatoeba.org/en/sentences/show/11076823,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Andalusia,1,A travel agent will arrange an excursion to Andalusia for you.,旅行社会为你安排去安达卢西亚的旅行。,andalusia,434154,5550107,lukaszpp,verdastelo9604,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/434154,https://tatoeba.org/en/sentences/show/5550107,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Andersen,1,"Andersen was afraid of dogs, too.",安德森也很怕狗的。,andersen,66953,421830,CN,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/66953,https://tatoeba.org/en/sentences/show/421830,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Anglo-Saxon,1,Anglo-Saxon was to Norman as hen-pecked to uxorious.,盎格鲁-撒克逊人对诺曼人来说就像妻管严对溺爱妻子的人一样。,anglo-saxon,2028587,8743589,halfb1t,cxpadonis,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/2028587,https://tatoeba.org/en/sentences/show/8743589,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Ankara,1,"In Ankara, all the seasons are like winter.",在安卡拉，所有季节都像冬天一样。,ankara,949736,7779229,unknown member,jiangche,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/949736,https://tatoeba.org/en/sentences/show/7779229,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Ankara,2,I go to Ankara University.,我在安卡拉大学学习。,ankara,11092243,11075486,risewithelsa,janTuki,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/11092243,https://tatoeba.org/en/sentences/show/11075486,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Antalya,1,I live in Antalya.,我住在安塔利亚。,antalya,2518438,5663526,Gulo_Luscus,verdastelo9604,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,96.0,https://tatoeba.org/en/sentences/show/2518438,https://tatoeba.org/en/sentences/show/5663526,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Antarctica,1,"With global warming, the amount of ice melting in Antarctica is increasing.",随著全球气温变暖，南极大陆的融冰量也日益增加。,antarctica,9408479,6140936,BobbyLee,LeviHighway,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/9408479,https://tatoeba.org/en/sentences/show/6140936,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Antarctica,2,He overcame all sorts of hardship and setbacks to succeed in a solo crossing of Antarctica.,他克服了种种困难和挫折，终于成功一个人越过了南极洲。,antarctica,54049,478872,unknown member,nickyeow,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,112.0,https://tatoeba.org/en/sentences/show/54049,https://tatoeba.org/en/sentences/show/478872,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
Antoinette,1,They say that Marie Antoinette was responsible for the French Revolution.,有人说，玛丽·安托瓦内特对法国大革命有着不可推卸的责任。,antoinette,4313548,4313894,mervert1,cindycute,username_filled_from_sentences_detailed,Tatoeba sentence pair export,CC BY 2.0 FR by default; some sentences may also be CC0 1.0. Verify per sentence before production.,122.0,https://tatoeba.org/en/sentences/show/4313548,https://tatoeba.org/en/sentences/show/4313894,Text sentence only; no Tatoeba audio used. Username author fields require Tatoeba Detailed Sentences export to fill exactly.
